Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 06, 2020",$0.3353,$0.3448,$0.3206,$0.3421,"$7,010,454","$131,924,005"
"Sep 05, 2020",$0.3765,$0.3849,$0.3304,$0.3353,"$7,806,071","$129,318,646"
"Sep 04, 2020",$0.3829,$0.3862,$0.3668,$0.3764,"$8,780,901","$145,166,754"
"Sep 03, 2020",$0.4454,$0.452,$0.3834,$0.3835,"$11,895,841","$147,870,871"
"Sep 02, 2020",$0.4817,$0.4817,$0.4267,$0.4454,"$11,976,647","$171,715,723"
"Sep 01, 2020",$0.5105,$0.5106,$0.4772,$0.4815,"$13,606,791","$185,636,041"
"Aug 31, 2020",$0.5325,$0.533,$0.5098,$0.5106,"$10,519,908","$196,835,315"
"Aug 30, 2020",$0.5385,$0.5612,$0.5251,$0.5324,"$12,985,987","$205,243,945"
"Aug 29, 2020",$0.5646,$0.5675,$0.5167,$0.5384,"$15,615,978","$207,575,487"
"Aug 28, 2020",$0.5043,$0.5686,$0.5032,$0.5635,"$19,624,080","$217,257,850"
"Aug 27, 2020",$0.4956,$0.5153,$0.4752,$0.5039,"$14,991,706","$194,256,604"
"Aug 26, 2020",$0.4643,$0.4927,$0.463,$0.4911,"$10,472,777","$189,336,684"
"Aug 25, 2020",$0.5296,$0.5296,$0.4525,$0.4643,"$15,158,877","$179,006,204"
"Aug 24, 2020",$0.4832,$0.5293,$0.481,$0.5293,"$12,485,391","$204,071,504"
"Aug 23, 2020",$0.4684,$0.4839,$0.4537,$0.4828,"$16,506,861","$186,123,496"
"Aug 22, 2020",$0.4332,$0.4956,$0.4163,$0.4684,"$13,705,821","$180,565,150"
"Aug 21, 2020",$0.5147,$0.5163,$0.4288,$0.4331,"$20,202,039","$166,970,885"
"Aug 20, 2020",$0.5082,$0.5368,$0.5069,$0.5147,"$14,522,463","$198,416,655"
"Aug 19, 2020",$0.5631,$0.6429,$0.4987,$0.5082,"$65,606,822","$195,878,744"
"Aug 18, 2020",$0.5644,$0.5657,$0.5246,$0.5635,"$14,899,293","$217,191,391"
"Aug 17, 2020",$0.6027,$0.6027,$0.5475,$0.5642,"$13,749,722","$217,473,760"
"Aug 16, 2020",$0.5121,$0.6032,$0.5096,$0.6027,"$25,319,706","$232,310,818"
"Aug 15, 2020",$0.5198,$0.5212,$0.5084,$0.5118,"$7,021,145","$197,286,295"
"Aug 14, 2020",$0.528,$0.5426,$0.5103,$0.52,"$19,371,321","$200,418,717"
"Aug 13, 2020",$0.5661,$0.5716,$0.5262,$0.5277,"$34,688,570","$203,382,243"
"Aug 12, 2020",$0.5227,$0.5767,$0.5208,$0.5656,"$28,381,043","$218,012,279"
"Aug 11, 2020",$0.5702,$0.5827,$0.4957,$0.5233,"$37,672,665","$201,700,004"
"Aug 10, 2020",$0.4361,$0.6033,$0.409,$0.5704,"$38,263,512","$219,725,913"
"Aug 09, 2020",$0.3616,$0.4412,$0.3599,$0.4361,"$15,689,633","$167,979,978"
"Aug 08, 2020",$0.336,$0.4022,$0.336,$0.3618,"$10,137,315","$139,364,952"
"Aug 07, 2020",$0.3476,$0.3493,$0.332,$0.3359,"$6,093,306","$129,382,470"
"Aug 06, 2020",$0.34,$0.3603,$0.3367,$0.3473,"$8,333,846","$133,804,862"
"Aug 05, 2020",$0.3258,$0.3499,$0.3249,$0.34,"$9,676,514","$130,999,238"
"Aug 04, 2020",$0.3269,$0.3419,$0.3115,$0.3257,"$7,159,743","$125,489,108"
"Aug 03, 2020",$0.3258,$0.3531,$0.3219,$0.3266,"$9,570,839","$125,896,506"
"Aug 02, 2020",$0.2813,$0.3259,$0.2768,$0.3258,"$10,572,956","$125,569,944"
"Aug 01, 2020",$0.305,$0.313,$0.2807,$0.281,"$5,909,431","$108,290,171"
"Jul 31, 2020",$0.337,$0.3371,$0.2965,$0.305,"$7,143,087","$117,535,417"
"Jul 30, 2020",$0.3479,$0.3634,$0.3232,$0.337,"$5,050,482","$129,888,977"
"Jul 29, 2020",$0.3754,$0.3919,$0.336,$0.3478,"$12,102,047","$134,067,773"
"Jul 28, 2020",$0.3994,$0.4002,$0.3664,$0.3756,"$7,302,373","$144,753,297"
"Jul 27, 2020",$0.4176,$0.4387,$0.3704,$0.3992,"$13,679,410","$153,838,634"
"Jul 26, 2020",$0.3829,$0.4197,$0.3661,$0.4176,"$10,980,250","$160,932,315"
"Jul 25, 2020",$0.3778,$0.39,$0.3765,$0.3827,"$9,056,653","$147,482,909"
"Jul 24, 2020",$0.3913,$0.3937,$0.3654,$0.3775,"$12,355,428","$145,444,523"
"Jul 23, 2020",$0.3793,$0.4122,$0.3793,$0.3913,"$19,463,032","$150,753,834"
"Jul 22, 2020",$0.3232,$0.414,$0.3215,$0.3793,"$20,312,949","$146,110,664"
"Jul 21, 2020",$0.3381,$0.3539,$0.2953,$0.3227,"$13,141,609","$124,309,871"
"Jul 20, 2020",$0.3376,$0.3832,$0.3361,$0.3388,"$19,401,972","$130,523,921"
"Jul 19, 2020",$0.2694,$0.3479,$0.2636,$0.3376,"$18,132,037","$130,030,731"
"Jul 18, 2020",$0.259,$0.2703,$0.2495,$0.2694,"$6,756,847","$103,773,612"
"Jul 17, 2020",$0.2335,$0.2619,$0.2286,$0.2592,"$6,551,219","$99,830,945"
"Jul 16, 2020",$0.2349,$0.2387,$0.2221,$0.2332,"$6,053,664","$89,811,724"
"Jul 15, 2020",$0.215,$0.2355,$0.215,$0.2349,"$6,557,684","$90,477,006"
"Jul 14, 2020",$0.2117,$0.2158,$0.2111,$0.215,"$4,461,227","$82,811,399"
"Jul 13, 2020",$0.2148,$0.2159,$0.2105,$0.2117,"$5,849,411","$81,529,438"
"Jul 12, 2020",$0.209,$0.2163,$0.2085,$0.2148,"$5,174,450","$82,696,208"
"Jul 11, 2020",$0.2081,$0.209,$0.2072,$0.209,"$3,659,771","$80,457,689"
"Jul 10, 2020",$0.2077,$0.2095,$0.2068,$0.2081,"$5,385,160","$80,120,223"
"Jul 09, 2020",$0.2094,$0.2142,$0.2071,$0.2077,"$5,660,108","$79,972,658"
"Jul 08, 2020",$0.2146,$0.2154,$0.2054,$0.2094,"$5,763,903","$80,628,037"
"Jul 07, 2020",$0.2133,$0.217,$0.2113,$0.2146,"$5,060,144","$82,637,895"
"Jul 06, 2020",$0.2069,$0.2152,$0.2069,$0.2133,"$5,170,374","$82,132,149"
"Jul 05, 2020",$0.2056,$0.2087,$0.2051,$0.2069,"$4,744,395","$79,671,583"
"Jul 04, 2020",$0.2084,$0.2091,$0.2051,$0.2056,"$5,721,761","$79,163,517"
"Jul 03, 2020",$0.2104,$0.2129,$0.2075,$0.2084,"$5,912,653","$80,197,079"
"Jul 02, 2020",$0.2076,$0.214,$0.2068,$0.2104,"$8,774,299","$80,982,328"
